Fecha,Hora,Nivel EAR,Alerta
2025-07-13,17:45:41,0.107,FATIGA DETECTADA
2025-07-13,17:45:41,0.101,FATIGA DETECTADA
2025-07-13,17:45:41,0.104,FATIGA DETECTADA
2025-07-13,17:45:41,0.123,FATIGA DETECTADA
2025-07-13,17:45:42,0.139,FATIGA DETECTADA
2025-07-13,17:45:42,0.145,FATIGA DETECTADA
2025-07-13,17:45:42,0.145,FATIGA DETECTADA
2025-07-13,17:45:42,0.231,FATIGA DETECTADA
2025-07-13,17:45:42,0.264,RECUPERACIÓN
2025-07-13,17:45:48,0.102,FATIGA DETECTADA
2025-07-13,17:45:48,0.127,FATIGA DETECTADA
2025-07-13,17:45:48,0.206,FATIGA DETECTADA
2025-07-13,17:45:48,0.215,FATIGA DETECTADA
2025-07-13,17:45:48,0.2,FATIGA DETECTADA
2025-07-13,17:45:48,0.2,FATIGA DETECTADA
2025-07-13,17:45:49,0.207,FATIGA DETECTADA
2025-07-13,17:45:49,0.224,FATIGA DETECTADA
2025-07-13,17:45:49,0.22,FATIGA DETECTADA
2025-07-13,17:45:49,0.23,FATIGA DETECTADA
2025-07-13,17:45:49,0.23,FATIGA DETECTADA
2025-07-13,17:45:49,0.206,FATIGA DETECTADA
2025-07-13,17:45:49,0.124,FATIGA DETECTADA
2025-07-13,17:45:49,0.159,FATIGA DETECTADA
2025-07-13,17:45:49,0.24,FATIGA DETECTADA
2025-07-13,17:45:49,0.24,FATIGA DETECTADA
2025-07-13,17:45:49,0.294,RECUPERACIÓN
2025-07-13,17:46:07,0.097,FATIGA DETECTADA
2025-07-13,17:46:07,0.096,FATIGA DETECTADA
2025-07-13,17:46:07,0.142,FATIGA DETECTADA
2025-07-13,17:46:07,0.2,FATIGA DETECTADA
2025-07-13,17:46:07,0.24,FATIGA DETECTADA
2025-07-13,17:46:07,0.288,RECUPERACIÓN
Fecha,Hora,Nivel EAR,Alerta
2025-07-21,14:00:44,0.142,FATIGA DETECTADA
2025-07-21,14:00:45,0.136,FATIGA DETECTADA
2025-07-21,14:00:45,0.123,FATIGA DETECTADA
2025-07-21,14:00:45,0.133,FATIGA DETECTADA
2025-07-21,14:00:45,0.128,FATIGA DETECTADA
2025-07-21,14:00:45,0.115,FATIGA DETECTADA
2025-07-21,14:00:45,0.151,FATIGA DETECTADA
2025-07-21,14:00:45,0.126,FATIGA DETECTADA
2025-07-21,14:00:45,0.136,FATIGA DETECTADA
2025-07-21,14:00:45,0.125,FATIGA DETECTADA
2025-07-21,14:00:45,0.121,FATIGA DETECTADA
2025-07-21,14:00:46,0.131,FATIGA DETECTADA
2025-07-21,14:00:46,0.106,FATIGA DETECTADA
2025-07-21,14:00:46,0.123,FATIGA DETECTADA
2025-07-21,14:00:46,0.102,FATIGA DETECTADA
2025-07-21,14:00:46,0.126,FATIGA DETECTADA
2025-07-21,14:00:46,0.134,FATIGA DETECTADA
2025-07-21,14:00:46,0.149,FATIGA DETECTADA
2025-07-21,14:00:46,0.133,FATIGA DETECTADA
2025-07-21,14:00:46,0.147,FATIGA DETECTADA
2025-07-21,14:00:46,0.133,FATIGA DETECTADA
2025-07-21,14:00:46,0.138,FATIGA DETECTADA
2025-07-21,14:00:47,0.141,FATIGA DETECTADA
2025-07-21,14:00:47,0.163,FATIGA DETECTADA
2025-07-21,14:00:47,0.144,FATIGA DETECTADA
2025-07-21,14:00:47,0.144,FATIGA DETECTADA
2025-07-21,14:00:47,0.139,FATIGA DETECTADA
2025-07-21,14:00:47,0.108,FATIGA DETECTADA
2025-07-21,14:00:47,0.126,FATIGA DETECTADA
2025-07-21,14:00:47,0.146,FATIGA DETECTADA
2025-07-21,14:00:47,0.158,FATIGA DETECTADA
2025-07-21,14:00:47,0.188,FATIGA DETECTADA
2025-07-21,14:00:48,0.211,FATIGA DETECTADA
2025-07-21,14:00:48,0.191,FATIGA DETECTADA
2025-07-21,14:00:48,0.184,FATIGA DETECTADA
2025-07-21,14:00:48,0.186,FATIGA DETECTADA
2025-07-21,14:00:48,0.213,FATIGA DETECTADA
2025-07-21,14:00:48,0.203,FATIGA DETECTADA
2025-07-21,14:00:48,0.228,FATIGA DETECTADA
2025-07-21,14:00:48,0.215,FATIGA DETECTADA
2025-07-21,14:00:48,0.209,FATIGA DETECTADA
2025-07-21,14:00:48,0.218,FATIGA DETECTADA
2025-07-21,14:00:48,0.182,FATIGA DETECTADA
2025-07-21,14:00:49,0.133,FATIGA DETECTADA
2025-07-21,14:00:49,0.131,FATIGA DETECTADA
2025-07-21,14:00:49,0.104,FATIGA DETECTADA
2025-07-21,14:00:49,0.101,FATIGA DETECTADA
2025-07-21,14:00:49,0.122,FATIGA DETECTADA
2025-07-21,14:00:49,0.151,FATIGA DETECTADA
2025-07-21,14:00:49,0.144,FATIGA DETECTADA
2025-07-21,14:00:49,0.124,FATIGA DETECTADA
2025-07-21,14:00:49,0.13,FATIGA DETECTADA
2025-07-21,14:00:49,0.14,FATIGA DETECTADA
2025-07-21,14:00:50,0.202,FATIGA DETECTADA
2025-07-21,14:00:50,0.217,FATIGA DETECTADA
2025-07-21,14:00:50,0.234,FATIGA DETECTADA
2025-07-21,14:00:50,0.237,FATIGA DETECTADA
2025-07-21,14:00:50,0.237,FATIGA DETECTADA
2025-07-21,14:00:50,0.235,FATIGA DETECTADA
2025-07-21,14:00:50,0.23,FATIGA DETECTADA
2025-07-21,14:00:50,0.25,RECUPERACIÓN
